,officename,pincode,Districtname,longitude,latitude
6074,Jalahalli East S.O,560014,Bangalore,77.5464,13.0734
6075,Jalahalli H.O,560013,Bangalore,77.5529,13.0503
6076,Jalahalli West S.O,560015,Bangalore,77.5284,13.0626
6077,Kodigehalli S.O,560112,Bangalore,103.8356,1.3713
6078,Laggere S.O,560058,Bangalore,77.5121,13.0281
6079,Magadi Road S.O,560023,Bangalore,77.5586,12.9757
6080,Mahalakshmipuram Layout S.O,560086,Bangalore,77.545,13.0067
6081,Malleswaram S.O,560003,Bangalore,77.5713,13.0019
6082,Malleswaram West S.O,560055,Bangalore,77.5577,13.0078
6083,Mathikere S.O,560054,Bangalore,77.5572,13.0347
6084,Nagarbhavi S.O,560072,Bangalore,77.5128,12.9719
6085,Nandinilayout S.O,560096,Bangalore,77.539,13.0158
6086,Peenya Dasarahalli S.O,560057,Bangalore,77.5132,13.0429
6087,Science Institute S.O,560012,Bangalore,77.5658,13.014000000000001
6088,Seshadripuram S.O,560020,Bangalore,77.5741,12.9889
6089,Vidyaranyapura S.O,560097,Bangalore,77.5565,13.0809
6090,Yeshwanthpur Bazar S.O,560022,Bangalore,77.54,13.0289
6091,Abbur B.O,562108,Ramanagar,77.1255,12.7413
6092,Achalu B.O,562117,Ramanagar,77.4472,12.5316
6093,Adarangi B.O,561101,Bangalore Rural,77.137,13.1368
6094,Agalakote B.O,562120,Ramanagar,77.1715,12.8788
6095,Ajjanahalli B.O,561201,Bangalore Rural,77.2643,12.8596
6096,Akkur B.O,562159,Ramanagar,77.2175,12.7909
6097,Akkur B.O,562138,Ramanagar,77.2635,12.5679
6098,Alanatha B.O,562119,Ramanagar,77.5161,12.3774
6099,Alurduddanahalli B.O,562110,Bangalore Rural,77.6994,13.2892
6100,Aluru B.O,562162,Bangalore Rural,77.4069,13.0308
6101,Anekal S.O,562106,Bangalore,77.6765,12.7227
6102,Antharahalli B.O,561203,Bangalore Rural,77.4931,13.3017
6103,Arakere B.O,562163,Bangalore Rural,77.5492,13.2304
6104,Arasinakunte B.O,562123,Bangalore Rural,77.3554,13.1138
6105,Arebommnahalli B.O,562111,Bangalore Rural,77.252,13.2557
6106,Arudi B.O,561204,Bangalore Rural,77.4013,13.3424
6107,Attibele S.O,562107,Bangalore,,
6108,Attihalli B.O,562126,Ramanagar,,
6109,Attikuppe B.O,562112,Ramanagar,77.5261,12.6861
6110,Avathi,562164,Bangalore,,
6111,Bagalur S.O (Bangalore),562149,Bangalore,77.6786,13.1195
6112,Baginigere B.O,562131,Bangalore Rural,77.1255,13.0571
6113,Banavadi B.O,562127,Bangalore Rural,77.2405,13.0854
6114,Banavasi B.O,562121,Ramanagar,77.539,12.626
6115,Begur B.O,562122,Bangalore Rural,77.9167,13.1976
6116,Bendiganahalli B.O,562129,Bangalore Rural,77.7681,13.1792
6117,Bettahalsur S.O,562157,Bangalore,77.6307,13.1726
6118,Bidadi S.O,562109,Ramanagar,77.4013,12.7547
6119,Chakkalur B.O,562160,Ramanagar,77.1715,12.6535
6120,Channarayapatna B.O,562135,Bangalore Rural,77.8482,13.1944
6121,Chikkanahalli B.O,562130,Bangalore,77.3899,12.946
6122,Doddabele B.O,562132,Bangalore Rural,77.3554,13.2043
6123,Doddagattiganabbe B.O,562114,Bangalore Rural,77.8596,13.0477
6124,Dommasandra B.O,562125,Bangalore,77.7866,12.8614
6125,Gantiganahalli B.O,561205,Bangalore Rural,77.5963,13.3181
6126,Government Silk Farm S.O,562161,Ramanagar,77.2118,12.7174
6127,Hagalahalli B.O,562128,Ramanagar,77.321,12.7847
6128,Achanur B.O,587111,Bagalkot,75.9115,16.098
6129,Adagal B.O,587201,Bagalkot,75.6674,15.9094
6130,Adihudi B.O,587330,Bagalkot,75.3645,16.6462
6131,Agasarkoppa B.O,587206,Bagalkot,75.4811,16.0802
6132,Aihole B.O,587124,Bagalkot,75.9231,15.9954
6133,Albal B.O,587119,Bagalkot,75.2362,16.5565
6134,Algundi B.O,587116,Bagalkot,75.5975,16.3408
6135,Algur B.O,587301,Bagalkot,75.3879,16.5329
6136,Alur S.K. B.O,587155,Bagalkot,75.516,15.8877
6137,Amalzeri B.O,587121,Bagalkot,75.3995,16.3614
6138,Amaravati B.O,587118,Bagalkot,76.1088,16.1456
6139,Amarawadgi B.O,587125,Bagalkot,76.1552,16.0107
6140,Amingad S.O,587112,Bagalkot,75.9812,16.0796
6141,Asangi B.O,587311,Bagalkot,75.1779,16.449
6142,Badagi B.O,587117,Bagalkot,75.5044,16.4262
6143,Bagalkot B.H.School S.O,587101,Bagalkot,75.7255,16.1773
6144,Bagalkot DC Complex,587103,Bagalkot,75.6557,16.1496
6145,Bagalkot UHS Campus S.O,587104,Bagalkot,,
6146,Bantanur B.O,587204,Bagalkot,75.4578,16.1933
6147,Baragi B.O,587313,Bagalkot,,
6148,Belagali S.O,587113,Bagalkot,75.2129,16.3712
6149,Belur S.O (Bagalkot),587114,Bagalkot,75.77199999999999,15.8591
6150,Bevur S.O (Bagalkot),587115,Bagalkot,75.8766,16.176
6151,Bhimangad B.O,587202,Bagalkot,75.9115,15.9372
6152,Bilkerur B.O,587207,Bagalkot,75.8302,16.3108
6153,Chikkur B.O,587122,Bagalkot,75.3645,16.1868
6154,Chikmagi B.O,587120,Bagalkot,75.7837,16.1238
6155,Chimmad B.O,587312,Bagalkot,75.1195,16.3874
6156,Gaddankeri B.O,587102,Bagalkot,75.6557,16.2185
6157,Golbhavi B.O,587315,Bagalkot,75.0378,16.4848
6158,Gorbal B.O,587154,Bagalkot,76.2595,15.96
6159,Guledgudd S.O,587203,Bagalkot,75.8185,16.0458
6160,Hangaragi B.O,587205,Bagalkot,75.6557,16.0807
6161,Hosur B.O,587314,Bagalkot,75.0962,16.4775
6162,Madabhavi B.O,587316,Bagalkot,75.0436,16.3533
6163,Achmatti B.O,591110,Belgaum,75.2246,15.719000000000001
6164,Agasage B.O,591143,Belgaum,74.4643,15.9506
6165,Akkisagar B.O,591129,Belgaum,75.0144,16.0475
6166,Alarwad B.O,590020,Belgaum,74.558,15.8204
6167,Aluminium Factory S.O,590010,Belgaum,74.5053,15.9022
6168,Ambadgatti B.O,591112,Belgaum,74.6635,15.634
6169,Ambewadi B.O,591108,Belgaum,74.4174,15.833
6170,Amte B.O,591345,Belgaum,74.2884,15.6526
6171,Amtur B.O,591102,Belgaum,74.8507,15.7843
6172,Angol S.O,590006,Belgaum,74.4936,15.8329
6173,Ankalgi B.O,591109,Belgaum,74.6635,15.770999999999999
6174,Apmc Saundatti S.O,591126,Belgaum,75.0845,15.755
6175,Aratgal B.O,591117,Belgaum,75.0845,15.8923
6176,Ashte B.O,590016,Belgaum,74.6049,15.937999999999999
6177,Avaradi B.O,591115,Belgaum,74.8039,15.5983
6178,Avaradi B.O,591127,Belgaum,75.4112,15.8691
6179,Avarolli B.O,591131,Belgaum,74.6518,15.7131
6180,Badli B.O,591111,Belgaum,75.0027,15.8293
6181,Bailur B.O,590018,Belgaum,74.4672,15.7825
6182,Balekundri Kshetra B.O,591103,Belgaum,74.6518,15.8729
6183,Bannur B.O,591130,Belgaum,75.2712,16.0886
6184,Baragaon B.O,591302,Belgaum,74.4291,15.6172
6185,Basvan Kudchi B.O,591124,Belgaum,74.6049,15.8467
6186,Batakurki B.O,591123,Belgaum,,
6187,Bekkinkeri B.O,591128,Belgaum,,
6188,Bekwad B.O,591120,Belgaum,74.5698,15.5817
6189,Belgaum Camp S.O,590001,Belgaum,74.5082,15.8596
6190,Belgaum Doordarshan Nagar S.O,590019,Belgaum,74.5024,15.8763
6191,Belgaum Khasbag S.O,590003,Belgaum,74.5317,15.8442
6192,Belgaum M. Vadgaon S.O,590005,Belgaum,74.5288,15.7898
6193,Belgaum MalMaruti Extension S.O,590017,Belgaum,74.5317,15.8842
6194,Belgaum Records MLI S.O,590009,Belgaum,74.498,15.8518
6195,Belvadi S.O,591104,Belgaum,74.8975,15.6962
6196,Bhavihal B.O,591125,Belgaum,74.7454,15.7883
6197,Bhutaramanahatti S.O,591156,Belgaum,74.5112,15.9769
6198,Bidi S.O,591106,Belgaum,74.7103,15.5461
6199,Chandargi B.O,591114,Belgaum,75.1779,16.0362
6200,Chikkop B.O,591119,Belgaum,74.9443,15.9281
6201,Dastikop B.O,591153,Belgaum,74.7688,15.6986
6202,Deshnur S.O,591147,Belgaum,74.722,15.9237
6203,Desur B.O,590014,Belgaum,74.3822,15.7506
6204,Devarai B.O,591301,Belgaum,74.5698,15.445
6205,Gajminhal B.O,591121,Belgaum,74.8039,15.9181
6206,Goravankolla B.O,591116,Belgaum,,
6207,Hindawadi S.O,590011,Belgaum,74.5126,15.8357
6208,Holehosur B.O,591118,Belgaum,74.7161,15.7234
6209,Hudli,591346,Belgaum,,
6210,Kakati S.O,591113,Belgaum,74.517,15.9259
6211,Kanabargi S.O,590015,Belgaum,74.5522,15.8942
6212,Majagaon B.O,590008,Belgaum,74.4584,15.8189
6213,Yallammahill S.O,591173,Belgaum,75.2537,16.7015
6214,Adavihalli B.O,583131,Davangere,75.9695,14.8084
6215,Agasanur B.O,583114,Bellary,77.0334,15.6978
6216,Agrahara B.O,583128,Bellary,76.5257,14.8878
6217,Agricultural Research Centre B.O,583121,Bellary,76.9413,15.6462
6218,Alabur B.O,583220,Bellary,76.1088,14.9539
6219,Aladahalli B.O,583127,Davangere,76.1088,14.7714
6220,Alagilawada B.O,583137,Davangere,75.8766,14.665999999999999
6221,Allipur B.O,583104,Bellary,76.9096,15.1479
6222,Alur Kudligi B.O,583218,Bellary,76.4332,14.654000000000002
6223,Amalapura B.O,583135,Bellary,76.41,14.857999999999999
6224,Amaravathi B.O,583211,Bellary,76.3753,15.3019
6225,Ambli B.O,583134,Bellary,76.2016,14.8226
6226,Anajigere B.O,583125,Davangere,76.0392,14.6531
6227,Ananthashayanagudi B.O,583201,Bellary,76.3985,15.2347
6228,Anekal B.O,583212,Bellary,76.2247,15.0296
6229,Anthapura B.O,583115,Bellary,76.7567,15.1303
6230,Appayyanahalli B.O,583130,Bellary,76.6182,14.8018
6231,Arasanahalu B.O,583213,Davangere,75.8302,14.7542
6232,Arliganur B.O,583122,Bellary,76.8952,15.5515
6233,Asundi B.O,583103,Bellary,76.9528,15.1992
6234,Badanahatti B.O,583116,Bellary,76.84899999999999,15.3192
6235,Bandihatti B.O,583102,Bellary,76.8952,15.0927
6236,Bandri B.O,583124,Bellary,76.4794,15.0222
6237,Bannigola B.O,583224,Bellary,76.1088,15.1367
6238,Bannikallu B.O,583214,Bellary,76.016,15.0852
6239,Banvikal B.O,583126,Bellary,76.5257,14.7051
6240,Basarakodu B.O,583117,Bellary,77.0564,15.2626
6241,Beerabbi B.O,583216,Bellary,75.8302,14.8909
6242,Bellary Brucepettah S.O,583101,Bellary,76.947,15.1243
6243,Bellary Jnanasagara S.O,583105,Bellary,76.8764,15.155999999999999
6244,Bellary Thermal Power Station S.O,583152,Bellary,76.7192,15.1997
6245,Belugoduhal B.O,583132,Bellary,76.5835,15.3605
6246,Bhairapura B.O,583120,Bellary,76.8952,15.4137
6247,Bhujanganagar B.O,583119,Bellary,76.5257,15.1165
6248,Budanur B.O,583217,Bellary,75.7371,14.8395
6249,Byluvaddigere B.O,583223,Bellary,76.5257,15.2081
6250,Chaganur B.O,583111,Bellary,77.0795,15.1034
6251,Channapatna B.O,583113,Bellary,76.7106,15.4026
6252,Chikkajayaganur B.O,583129,Bellary,76.6528,15.3189
6253,Chilakanahatti B.O,583222,Bellary,76.3406,15.1053
6254,D T Ship S.O,583118,Bellary,76.6355,15.0373
6255,Dasarahalli B.O,583219,Bellary,75.9231,14.988
6256,Deogiri S.O,583112,Bellary,76.6182,14.9847
6257,Hampi Power House S.O,583215,Bellary,76.5141,15.2875
6258,Hampi S.O,583239,Bellary,76.439,15.3116
6259,Harakanahalu B.O,583136,Bellary,76.2943,14.7369
6260,Hospet N C C S.O,583203,Bellary,76.4274,15.2651
6261,K U Campus S.O,583276,Bellary,,
6262,Kamalapura S.O,583221,Bellary,,
6263,Kurekuppa B.O,583123,Bellary,76.6644,15.1706
6264,T B Dam S.O,583225,Bellary,76.3348,15.2479
6265,Vidyanagar S.O (Bellary),583275,Bellary,76.8836,15.218
6266,Ahmadabad B.O,585444,Bidar,77.3669,18.0455
6267,Alandi B.O,585328,Bidar,77.2175,18.0705
6268,Algood B.O,585419,Bidar,76.8029,17.7636
6269,Aliember B.O,585402,Bidar,77.4472,17.9926
6270,Alura B.O,585414,Bidar,77.252,17.8286
6271,Alwai B.O,585416,Bidar,76.9873,18.055
6272,Amlapur B.O,585403,Bidar,77.539,17.8589
6273,Aurad (B) S.O,585326,Bidar,77.4013,18.269000000000002
6274,Aurad (S) B.O,585226,Bidar,77.4013,17.85
6275,Balat (K) B.O,585436,Bidar,77.3439,18.1371
6276,Banhalli B.O,585412,Bidar,77.229,17.6876
6277,Basavakalyan Bazar S.O,585327,Bidar,76.9873,17.9155
6278,Belkoni (M) B.O,585443,Bidar,77.298,18.2505
6279,Bemalkhed B.O,585227,Bidar,77.3554,17.660999999999998
6280,Bhatambra S.O,585411,Bidar,77.1255,18.0643
6281,Bidar H.O,585401,Bidar,77.5218,17.9218
6282,Byalhalli B.O,585415,Bidar,77.321,17.8564
6283,Chandanhalli B.O,585418,Bidar,77.137,17.8907
6284,Chandeshwar B.O,585417,Bidar,77.2175,18.2102
6285,Chikli (J) B.O,585421,Bidar,77.4931,18.1353
6286,Chiknagaon B.O,585437,Bidar,76.8952,17.7234
6287,Dhannura (H) B.O,585413,Bidar,77.3095,17.9836
6288,Dhannura (R) B.O,585330,Bidar,77.137,17.7048
6289,Dhumansur B.O,585353,Bidar,77.11399999999999,17.8194
6290,Hoodgi S.O,585329,Bidar,77.229,17.7806
6291,Islampur B.O,585331,Bidar,77.0334,17.7792
6292,Abbihal B.O,586213,Bijapur(KAR),75.9695,16.4123
6293,Agarkhed S.O,586111,Bijapur(KAR),76.016,17.2458
6294,Agasanal B.O,586117,Bijapur(KAR),75.7837,17.1369
6295,Aheri (Sindgi) B.O,586123,Bijapur(KAR),76.3753,16.9587
6296,Aheri B.O,586112,Bijapur(KAR),75.9231,16.9622
6297,Ahirsang B.O,586211,Bijapur(KAR),75.9115,17.2268
6298,Ainapur B.O,586104,Bijapur(KAR),75.7023,16.912
6299,Algur B.O,586118,Bijapur(KAR),76.3406,16.6216
6300,Almat R.S. B.O,586201,Bijapur(KAR),75.8766,16.406
6301,Almel S.O,586202,Bijapur(KAR),76.2363,17.0647
6302,Alur B.O,586129,Bijapur(KAR),76.1552,16.2406
6303,Angadgeri B.O,586216,Bijapur(KAR),75.865,16.4857
6304,Anjutgi B.O,586204,Bijapur(KAR),75.7371,17.2721
6305,Ankalgi B.O,586127,Bijapur(KAR),75.9231,16.8238
6306,Aralichandi B.O,586203,Bijapur(KAR),76.0392,16.6704
6307,Arjanal B.O,586207,Bijapur(KAR),75.865,17.339000000000002
6308,Arjunagi B.O,586217,Bijapur(KAR),76.1088,17.1599
6309,Arjunagi B.O,586113,Bijapur(KAR),75.5044,16.6562
6310,Asangi Khurd B.O,586210,Bijapur(KAR),75.6906,16.4852
6311,Asantapur B.O,586128,Bijapur(KAR),76.2479,16.8923
6312,B.Salwadgi B.O,586214,Bijapur(KAR),76.3174,16.5047
6313,Babanagar B.O,586114,Bijapur(KAR),75.4578,16.9291
6314,Bablad B.O,586125,Bijapur(KAR),75.5975,16.5707
6315,Balwat B.O,586116,Bijapur(KAR),76.1088,16.4217
6316,Banthanal B.O,586215,Bijapur(KAR),76.016,17.0148
6317,Baratgi B.O,586119,Bijapur(KAR),75.7837,16.9524
6318,Bavur B.O,586212,Bijapur(KAR),76.2479,16.3849
6319,Bhutnal B.O,586103,Bijapur(KAR),75.7023,16.8659
6320,Bibi-ingalgi B.O,586120,Bijapur(KAR),76.2016,16.7506
6321,Bijapur Amc S.O,586108,Bijapur(KAR),75.7023,16.6816
6322,Bijapur Basava Nagar S.O,586101,Bijapur(KAR),75.743,16.863
6323,Bijapur Darbargalli S.O,586109,Bijapur(KAR),75.7183,16.8138
6324,Bijapur Sainik School S.O,586102,Bijapur(KAR),,
6325,Bijjur B.O,586124,Bijapur(KAR),,
6326,Bommanahalli B.O,586206,Bijapur(KAR),,
6327,Bommanjogi B.O,586115,Bijapur(KAR),,
6328,Budihal; B.O,586208,Bijapur(KAR),,
6329,Chadchan S.O,586205,Bijapur(KAR),,
6330,Dashyal B.O,586130,Bijapur(KAR),,
6331,Hattarkihal B.O,586122,Bijapur(KAR),,
6332,Indi S.O,586209,Bijapur(KAR),,
6333,Kalgurki B.O,586121,Bijapur(KAR),,
6334,Abbihal B.O,591304,Belgaum,,
6335,Adhalli B.O,591248,Belgaum,,
6336,Adi B.O,591215,Belgaum,,
6337,Ainapur S.O,591303,Belgaum,,
6338,Ajur B.O,591212,Belgaum,,
6339,Akol S.O,591211,Belgaum,,
6340,Alagwadi B.O,591317,Belgaum,,
6341,Alaknur B.O,591220,Belgaum,,
6342,Ankali S.O,591213,Belgaum,,
6343,Appachiwadi B.O,591241,Belgaum,,
6344,Aralihatti B.O,591232,Belgaum,,
6345,Arjunnagar B.O,591237,Belgaum,,
6346,Badchi B.O,591230,Belgaum,,
6347,Bambalwad B.O,591226,Belgaum,,
6348,Bannur B.O,591265,Belgaum,,
6349,Barwad B.O,591263,Belgaum,,
6350,Bedkihal S.O,591214,Belgaum,,
6351,Belkud B.O,591222,Belgaum,,
6352,Bhiradi B.O,591217,Belgaum,,
6353,Borgaon S.O (Belgaum),591216,Belgaum,,
6354,Chikodi Bazar S.O,591201,Belgaum,,
6355,Chikodi Sugar Factory S.O,591247,Belgaum,,
6356,Chinchani B.O,591287,Belgaum,,
6357,Dhulaganwadi B.O,591238,Belgaum,,
6358,Faridkhanwadi B.O,591316,Belgaum,,
6359,Galataga S.O,591219,Belgaum,,
6360,Gundwad B.O,591311,Belgaum,,
6361,Hanchinal K.S. B.O,591229,Belgaum,,
6362,Handigund B.O,591235,Belgaum,,
6363,Ingali B.O,591242,Belgaum,,
6364,Janwad B.O,591240,Belgaum,,
6365,Kagvad S.O,591223,Belgaum,,
6366,Kallol B.O,591244,Belgaum,,
6367,Kempwad B.O,591234,Belgaum,,
6368,Khadaklat S.O,591228,Belgaum,,
6369,Nej B.O,591239,Belgaum,,
6370,Shedbal R.S. B.O,591315,Belgaum,,
6371,Adaragunchi B.O,580028,Dharwad,,
6372,Agadi B.O,581207,Dharwad,,
6373,Alagawadi B.O,582208,Dharwad,,
6374,Alnavar S.O,581103,Dharwad,,
6375,Amminabhavi S.O,581201,Dharwad,,
6376,Amragol B.O,580025,Dharwad,,
6377,Anchatageri B.O,580024,Dharwad,,
6378,Annegeri Market S.O,582201,Dharwad,,
6379,Aravatagi B.O,580007,Dharwad,,
6380,B K Tarlagatta B.O,581113,Dharwad,,
6381,Bagadageri B.O,581196,Dharwad,,
6382,Ballarwad B.O,581209,Dharwad,,
6383,Bammigatti B.O,581204,Dharwad,,
6384,Banagitti Gudihal B.O,580114,Dharwad,75.0027,15.3042
6385,Baradwad B.O,581195,Dharwad,75.3995,15.3309
6386,Byahatti B.O,580023,Dharwad,75.2246,15.3991
6387,Devarahubballi B.O,580118,Dharwad,74.9092,15.3434
6388,Dharwad City S.O,580001,Dharwad,75.0202,15.4593
6389,Dharwad High Court S.O,580011,Dharwad,74.8975,15.5136
6390,Dharwad K V V S.O,580003,Dharwad,74.9764,15.4307
6391,Dharwad K.C.Park S.O,580008,Dharwad,74.9969,15.4691
6392,Dharwad M J Nagar S.O,580006,Dharwad,75.0231,15.4339
6393,Dharwad S D M E college S.O,580002,Dharwad,75.0115,15.4274
6394,Dharwad Sattur S.O,580009,Dharwad,75.0494,15.3986
6395,Dharwad U A S S.O,580005,Dharwad,74.9852,15.4912
6396,Dharwad Vidyagiri S.O,580004,Dharwad,75.0173,15.4449
6397,Garag S.O,581105,Dharwad,,
6398,Gokul B.O,580030,Dharwad,75.0903,15.3501
6399,Goudageri B.O,581107,Dharwad,75.3645,15.1346
6400,Hebballi B.O,580112,Dharwad,75.1779,15.5329
6401,Hiregunjal B.O,581117,Dharwad,75.3762,15.2381
6402,Hubli Bharat Mill S.O,580029,Dharwad,75.1326,15.3515
6403,Hubli City S.O,580020,Dharwad,75.1399,15.3392
6404,Hubli Eng College S.O,580031,Dharwad,75.1224,15.3836
6405,Hubli KMC S.O,580021,Dharwad,75.1166,15.3547
6406,Hubli Tarihal Indl. Estate S.O,580026,Dharwad,75.0261,15.3514
6407,Hubli Vijayanagar S.O,580032,Dharwad,75.1429,15.405
6408,Kallur B.O,581206,Dharwad,,
6409,Abbigeri S.O,582111,Gadag,75.7488,15.5826
6410,Adarkatti B.O,582116,Gadag,75.5044,15.1438
6411,Adavibhavi B.O,583277,Koppal,76.1088,15.777999999999999
6412,Advisomapur B.O,582103,Gadag,75.6441,15.3356
6413,Agalkera B.O,583234,Koppal,76.3811,15.3424
6414,Agoli B.O,583235,Koppal,76.4447,15.4437
6415,Alawandi S.O,583226,Koppal,75.9695,15.2651
6416,Anegundi B.O,583227,Koppal,76.5373,15.4265
6417,Anturbentur B.O,582205,Gadag,75.516,15.4072
6418,Arahunsi B.O,582209,Gadag,75.7371,15.7078
6419,Arkeri B.O,583230,Koppal,76.1552,15.5058
6420,Asuti B.O,582203,Gadag,75.6092,15.7795
6421,Bagewadi B.O,582118,Gadag,75.8302,15.1191
6422,Bahaddurbandi B.O,583238,Koppal,76.0624,15.3167
6423,Balaganur B.O,582102,Gadag,75.6441,15.5185
6424,Balgeri B.O,583232,Koppal,75.9695,15.4939
6425,Ballutagi B.O,583278,Koppal,76.2479,15.8329
6426,Ballutgi B.O,583236,Koppal,75.9695,15.6314
6427,Bandargallu B.O,583281,Koppal,76.016,15.9097
6428,Banhatti B.O,582207,Gadag,75.4112,15.7317
6429,Bannikoppa B.O,582112,Gadag,75.6441,15.015999999999998
6430,Bardur B.O,582113,Gadag,75.8302,15.2562
6431,Bargoor B.O,583282,Koppal,76.6297,15.501
6432,Belhod B.O,582204,Gadag,75.551,15.5123
6433,Belvanki S.O,582202,Gadag,75.551,15.6954
6434,Bevinhal B.O,583229,Koppal,76.6182,15.6265
6435,Bewoor S.O,583237,Koppal,76.2479,15.5575
6436,Bilekal B.O,583280,Koppal,75.8883,15.8668
6437,Budgumpa B.O,583228,Koppal,76.3406,15.38
6438,Chebbi B.O,582120,Gadag,75.5975,15.1955
6439,Chickdankankal B.O,583283,Koppal,76.3869,15.5663
6440,Chilzeri B.O,582114,Gadag,75.9695,15.7231
6441,Chinchali B.O,582117,Gadag,75.5044,15.2808
6442,Danapur B.O,583268,Koppal,76.5835,15.4752
6443,Gadag Bazar S.O,582101,Gadag,75.6354,15.4293
6444,Halkeri B.O,582119,Gadag,75.8302,15.5765
6445,Halligudi B.O,582115,Gadag,75.7837,15.4361
6446,Huliyapur,583279,Koppal,76.41,15.7743
6447,Itagi B.O,582211,Gadag,75.8302,15.8057
6448,Konnur S.O (Gadag),582206,Gadag,75.4927,15.8403
6449,Koppal Bazar S.O,583231,Koppal,76.161,15.3516
6450,Munirabad S.O,583233,Gadag,76.3203,15.2785
6451,Shigli S.O,582210,Gadag,75.4694,15.0617
6452,Akkatangerhal B.O,591101,Belgaum,74.722,16.0151
6453,Akkiwat B.O,591225,Belgaum,74.4643,16.3164
6454,Ammanagi B.O,591236,Belgaum,74.5346,16.2988
6455,Ankle B.O,591313,Belgaum,74.4643,16.2706
6456,Arabhavifarm B.O,591218,Belgaum,74.8624,16.2084
6457,Arjunwad B.O,591309,Belgaum,74.6049,16.2353
6458,Avaradi B.O,591310,Belgaum,75.0494,16.2906
6459,Badakundri B.O,591221,Belgaum,74.558,16.1632
6460,Badigwad B.O,591306,Belgaum,74.7688,16.2474
6461,Basapur B.O,591122,Belgaum,74.7103,16.0943
6462,Bellad Bagewadi S.O,591305,Belgaum,74.6986,16.288
6463,Benchinmardi B.O,591344,Belgaum,74.8507,16.0587
6464,Berranholi B.O,591243,Belgaum,74.5698,16.0383
6465,Betageri B.O,591233,Belgaum,74.9559,16.1464
6466,Daddi S.O,591254,Belgaum,74.4408,16.086
6467,Dharmatti B.O,591312,Belgaum,74.991,16.3437
6468,Fulgaddi B.O,591224,Belgaum,,
6469,Ghodgeri B.O,591107,Belgaum,,
6470,Gokak College Road S.O,591307,Belgaum,74.839,16.1609
6471,Gokak Falls S.O,591308,Belgaum,74.7688,16.1558
6472,Gosbal B.O,591227,Belgaum,75.0494,16.1989
6473,Kamatnur B.O,591340,Belgaum,74.5405,16.2477
6474,Konnur S.O (Belgaum),591231,Belgaum,74.722,16.1981
6475,Sankeshwar Sugar Factory S.O,591314,Belgaum,74.5053,16.2565
6476,Yadwad S.O,591136,Belgaum,75.1662,16.2302
6477,Yamakanmardi S.O,591246,Belgaum,74.5815,16.0963
6478,Adilapur B.O,585223,Yadgir,76.9413,16.7532
6479,Adki B.O,585222,Gulbarga,77.2635,17.0979
6480,Afjalpur S.O,585301,Gulbarga,76.41,17.2501
6481,Agni B.O,585216,Yadgir,76.5257,16.6338
6482,Ajalapur B.O,585315,Yadgir,77.3899,16.6309
6483,Alanga B.O,585314,Gulbarga,76.6066,17.6921
6484,Aldal B.O,585290,Yadgir,76.6644,16.5044
6485,Algera B.O,585321,Yadgir,77.3095,16.7301
6486,Alhalli B.O,585211,Gulbarga,77.1255,17.0428
6487,Allipur B.O,585202,Yadgir,77.1255,16.7186
6488,Alund Bazar B.O,585302,Gulbarga,76.5026,17.5343
6489,Alur B.O,585325,Gulbarga,76.5719,16.8678
6490,Ambalga B.O,585316,Gulbarga,76.8721,17.5594
6491,Andola S.O,585303,Gulbarga,76.84899999999999,16.9786
6492,Ankalgi B.O,585212,Gulbarga,76.4794,17.1391
6493,Anpur B.O,585306,Gulbarga,77.3095,17.5186
6494,Anwar B.O,585305,Gulbarga,77.5849,17.4897
6495,Aralgundagi B.O,585310,Gulbarga,76.5026,16.9788
6496,Arankallur B.O,585322,Gulbarga,77.0795,17.4572
6497,Arjunagi B.O,585236,Gulbarga,76.4332,17.4137
6498,Asta B.O,585104,Gulbarga,76.8029,17.4388
6499,Baddepalli B.O,585221,Yadgir,77.2635,16.5884
6500,Balbatti B.O,585309,Gulbarga,76.6644,16.6891
6501,Balkal B.O,585319,Yadgir,77.0334,16.7128
6502,Bandarwad B.O,585265,Gulbarga,76.6182,17.1947
6503,Bapparga B.O,585237,Yadgir,76.3869,16.348
6504,Basavapattan B.O,585308,Gulbarga,76.8029,17.1607
6505,Beeranahalli B.O,585317,Gulbarga,77.1255,17.2282
6506,Belwadgi B.O,585225,Gulbarga,76.9873,17.0339
6507,Bendebembli B.O,585355,Yadgir,77.1255,16.5336
6508,Bhankur B.O,585228,Gulbarga,76.8952,17.0742
6509,Bheemarayanagudi S.O,585287,Yadgir,76.8144,16.7797
6510,Bhimalli B.O,585311,Gulbarga,76.6182,17.4727
6511,Bhopal Tegnoor B.O,585102,Gulbarga,76.9413,17.3089
6512,Bijaspur S.O,585304,Yadgir,76.8952,16.5191
6513,Bolewad B.O,585312,Gulbarga,77.1255,17.320999999999998
6514,Bommanahalli B.O,585213,Gulbarga,76.6182,17.3337
6515,Budnoor B.O,585214,Yadgir,77.3554,16.8719
6516,"Central University of Karnataka,Kad",585367,Gulbarga,76.9267,17.3449
6517,Chandankera B.O,585313,Gulbarga,77.0564,17.5717
6518,Chandapur B.O,585318,Gulbarga,77.4013,17.0139
6519,Chandrampalli B.O,585307,Gulbarga,77.4472,17.5274
6520,Chintapalli B.O,585320,Gulbarga,77.3554,17.2893
6521,Devargonal B.O,585220,Yadgir,76.699,16.5643
