,officename,pincode,Districtname,longitude,latitude
198,Chatlapally B.O,502301,Medak,78.7703,17.9344
199,Chinna Gundavelli B.O,502107,Medak,78.7816,18.2039
200,Fareedpur B.O,502130,Medak,78.2077,18.0817
201,Gavvalapally B.O,502248,Medak,78.407,18.053
202,Gunreddipally B.O,502335,Medak,78.4638,17.8814
203,Kadlakal S.O,502336,Medak,78.4979,17.7784
204,Kodakandla S.O,502312,Medak,78.8043,17.8313
205,Kondapak S.O,502372,Medak,78.759,18.0155
206,Kondapaka B.O,502331,Medak,78.145,18.002
207,Laxminagar B.O,502125,Medak,78.1678,18.0501
208,Lingaipally B.O,502303,Medak,78.0538,18.0663
209,Medak Buss stand S.O,502110,Medak,78.2647,18.0502
210,Ramayampet S.O,502101,Medak,78.4638,18.0915
211,Addagudur B.O,508277,Nalgonda,79.2677,17.4953
212,Aipur B.O,508114,Nalgonda,79.0871,17.2055
213,Akkinepally B.O,508254,Nalgonda,79.2226,17.2128
214,Alair S.O,508101,Nalgonda,79.0758,17.6599
215,Alwal B.O,508377,Nalgonda,79.317,16.7853
216,Anajipur B.O,508285,Nalgonda,78.9628,17.4202
217,Anatharam B.O,508117,Nalgonda,78.9777,17.5042
218,Angadipet B.O,508255,Nalgonda,79.0871,16.9725
219,Anthampet B.O,508245,Nalgonda,78.8609,16.9602
220,Appajipet B.O,508002,Nalgonda,79.1688,17.1087
221,Arroor B.O,508112,Nalgonda,79.0419,17.3896
222,Athmakur S.O,508111,Nalgonda,79.1323,17.4879
223,Azmapur B.O,508243,Nalgonda,79.0306,16.6786
224,Begumpeta B.O,508105,Nalgonda,78.9515,17.7113
225,Bhattugudem B.O,508126,Nalgonda,78.7703,17.5143
226,Bhongir H.O,508116,Nalgonda,78.8156,17.6102
227,Bodangaparthy B.O,508244,Nalgonda,79.0871,17.1123
228,Bogaram B.O,508113,Nalgonda,79.1436,17.3135
229,Bogguladone B.O,508258,Nalgonda,78.7703,16.5832
230,Bottuguda S.O,508001,Nalgonda,79.2113,17.084
231,Chalakuthy B.O,508202,Nalgonda,79.3353,16.6829
232,Chamalapally B.O,508256,Nalgonda,79.1323,16.8352
233,Chandupatla B.O,508286,Nalgonda,79.0419,17.5763
234,Chelmada B.O,508253,Nalgonda,78.9062,17.149
235,Cherla Gouraram B.O,508004,Nalgonda,79.2564,17.0165
236,Chilakamarry B.O,508257,Nalgonda,79.0532,16.7495
237,Chinakondur B.O,508252,Nalgonda,78.9062,17.2888
238,Chinthapalli S.O,508250,Nalgonda,78.8043,16.8524
239,Chitriyala B.O,508248,Nalgonda,78.9741,16.5709
240,Dattaipally B.O,508115,Nalgonda,78.9062,17.6153
241,Gatlamallepally B.O,508373,Nalgonda,78.9515,16.872
242,Indriyala B.O,508284,Nalgonda,78.8043,17.3414
243,Medaram B.O,508266,Nalgonda,79.2226,16.6538
244,Abhangapatnam B.O,503245,Nizamabad,77.9853,18.7858
245,Achampet B.O,503302,Nizamabad,77.8939,18.2195
246,Adivilingal B.O,503122,Nizamabad,78.0424,18.2173
247,Adloor B.O,503145,Nizamabad,78.2704,18.4183
248,Adloor B.O,503112,Nizamabad,78.3365,18.355999999999998
249,Ailapur B.O,503246,Nizamabad,78.031,18.8589
250,Akloor B.O,503311,Nizamabad,78.3956,18.7886
251,Aloor B.O,503223,Nizamabad,78.2635,18.7704
252,Ambam S.O,503235,Nizamabad,77.9053,18.7689
253,Amberipet B.O,503123,Nizamabad,78.4866,18.2564
254,Amdapur B.O,503180,Nizamabad,77.9339,18.6598
255,Amrad B.O,503003,Nizamabad,78.1678,18.704
256,Anandnagar B.O,503188,Nizamabad,77.87100000000001,18.5681
257,Ananthagiri B.O,503186,Nizamabad,78.031,18.6953
258,Andhranagar B.O,503213,Nizamabad,78.145,18.7961
259,Ankole B.O,503301,Nizamabad,77.87100000000001,18.4281
260,Annaram B.O,503144,Nizamabad,78.407,18.4268
261,Annaramkalan B.O,503310,Nizamabad,77.7681,18.2931
262,Ansanpalli B.O,503164,Nizamabad,78.2704,18.5586
263,Anthampalli B.O,503102,Nizamabad,78.3728,18.2494
264,APSP Camp S.O (Nizamabad),503174,Nizamabad,78.2092,18.6058
265,Argonda B.O,503110,Nizamabad,78.2704,18.2315
266,Armoor H.O,503224,Nizamabad,78.2704,18.7924
267,Babapur B.O,503307,Nizamabad,78.5207,18.691
268,Badguni B.O,503212,Nizamabad,78.1792,18.9269
269,Badsi B.O,503230,Nizamabad,78.08800000000001,18.5938
270,Balkonda S.O,503217,Nizamabad,78.3159,18.8889
271,Bandaranjal B.O,503187,Nizamabad,77.9053,18.3486
272,Barangedgi B.O,503321,Nizamabad,77.8024,18.4703
273,Bashirabad B.O,503225,Nizamabad,78.4638,18.8162
274,Baswapur B.O,503101,Nizamabad,78.4411,18.1835
275,Baswapur B.O,503305,Nizamabad,77.6192,18.3417
276,Bibipet S.O,503125,Nizamabad,78.532,18.2124
277,Bichkunda S.O,503306,Nizamabad,77.7338,18.3958
278,Bodhan S.O (Nizamabad),503185,Nizamabad,77.8596,18.6725
279,Bussapur B.O,503218,Nizamabad,78.3956,18.9056
